id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1361061092,Tiempo de garantía,,12 meses,"{'number': 12, 'unit': 'meses'}","[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",number_unit,MLA,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.ª Generación 2022 4k 128gb Negro,1017136269,MLA352001,,468512.0,468512.0,,ARS,37,MLA21015906
MLA1361061092,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.ª Generación 2022 4k 128gb Negro,1017136269,MLA352001,,468512.0,468512.0,,ARS,37,MLA21015906
MLA1345282920,Tiempo de garantía,,12 meses,"{'number': 12, 'unit': 'meses'}","[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",number_unit,MLA,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,1017136269,MLA352001,,329224.0,329224.0,,ARS,70,MLA21459431
MLA1345282920,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,1017136269,MLA352001,,329224.0,329224.0,,ARS,70,MLA21459431
MLA1345282920,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,1017136269,MLA352001,,329224.0,329224.0,,ARS,70,MLA21459431
MLA1453365954,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,173426652,MLA352001,,499997.0,499997.0,,ARS,8,MLA18385616
MLA1453365954,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,173426652,MLA352001,,499997.0,499997.0,,ARS,8,MLA18385616
MLA1453365954,Tiempo de garantía,,6 meses,"{'number': 6, 'unit': 'meses'}","[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]",number_unit,MLA,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,173426652,MLA352001,,499997.0,499997.0,,ARS,8,MLA18385616
MLA1594852796,Tiempo de garantía,,1 meses,"{'number': 1, 'unit': 'meses'}","[{'id': None, 'name': '1 meses', 'struct': {'number': 1, 'unit': 'meses'}}]",number_unit,MLA,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,244022676,MLA352001,,466300.0,466300.0,,ARS,1,MLA18385617
MLA1594852796,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,244022676,MLA352001,,466300.0,466300.0,,ARS,1,MLA18385617
